id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,published_year,published_month,full_price,discount_pct,has_discount,dormancy_score,dormancy_status,job_class,price_tier
3241432,Formação de Custo de Produção,True,13,4.14286,3.93949,7,25,2020,7,4160.0,89.1,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2109834,Como investir no Mercado de Ações?,True,99,4.35714,4.31891,7,5,2020,7,1280.0,64.5,True,18,Low Engagement,JC-3 Basic,Budget (<₹2K)
2826011,Buchführung & Jahresabschluss einfach erklärt in 5 Stunden,True,25,4.57143,4.50336,7,33,2020,2,2240.0,0.0,False,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2903290,PJE-CALC Cidadão,True,18,4.35714,4.29936,7,15,2020,3,8320.0,75.0,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2606698,Supercharge Intraday Trading Skill,True,38,4.28571,4.26022,7,16,2019,11,8000.0,94.3,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3161438,Stock Market Trading in 14 Days Technical Analysis (Hindi),True,19,4.28571,4.17074,7,14,2020,7,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3224037,COSO IC-IF 2013,True,9,3.5,3.44444,7,13,2020,6,4480.0,89.8,True,38,At Risk,JC-3 Basic,Mid (₹2K-5K)
3343614,Day Trade: Estratégia,True,30,4.85714,4.77288,7,20,2020,7,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2790174,CEA ANBIMA  - Preparatório para a certificação,True,33,3.14286,3.1971,7,16,2020,2,1600.0,71.6,True,38,At Risk,JC-3 Basic,Budget (<₹2K)
2689460,"Ichimoku, indicateur de confirmation et de surveillance",True,16,3.57143,3.68471,7,5,2019,12,3200.0,85.8,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
3280060,El ABC del trading,True,12,4.66667,4.71824,6,11,2020,7,1280.0,0.0,False,28,At Risk,JC-3 Basic,Budget (<₹2K)
3310242,Aprende a programar indicadores no Tradingview desde ZERO,True,20,4.83333,4.83928,6,18,2020,7,2560.0,82.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2953586,Professional Trading Program,True,30,3.91667,3.96048,6,59,2020,4,6400.0,92.9,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2790024,Declaração do Imposto de Renda para MEI – 2020,True,14,4.41667,4.3176,6,7,2020,2,1280.0,0.0,False,28,At Risk,JC-3 Basic,Budget (<₹2K)
3121436,PPL2020-07-ISU-ISU SEPUTAR KETENAGAKERJAAN,True,8,4.5,4.47826,6,24,2020,5,4480.0,0.0,False,38,At Risk,JC-3 Basic,Mid (₹2K-5K)
3017442,Gestão Financeira para Micro e Pequenas Empresas,True,14,4.0,4.1564,6,16,2020,4,6720.0,93.2,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2805523,Curso Orçamento e Fluxo de Caixa em Excel,True,21,4.41667,4.48861,6,26,2020,6,2560.0,82.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2691180,Controlling - Einstieg ins Finanzmanagement,True,34,4.0,4.02017,6,13,2019,12,2560.0,75.0,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
3127060,Retração de M5 pode te salvar,True,14,3.91667,3.86634,6,11,2020,5,2560.0,82.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2970698,Impuestos para Mortales,True,10,4.08333,4.12363,6,10,2020,4,2880.0,0.0,False,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2752884,Calcul stochastique pour le trading Forex,True,71,3.5,3.21736,6,50,2020,1,8640.0,94.7,True,18,Low Engagement,JC-3 Basic,Standard (₹5K-9K)
2901414,Aprende a Invertir usando Python,True,54,3.16667,3.17353,6,51,2020,4,3840.0,88.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2828990,Borsa Teknik Analiz Kursu,True,17,4.75,4.7909,6,48,2020,2,12800.0,0.0,False,28,At Risk,JC-3 Basic,Premium (₹9K-13K)
2064123,Formation Quickbooks en ligne,True,44,4.75,4.81674,6,33,2020,1,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2515466,Os Segredos Para Liberdade Financeira,True,14,4.58333,4.59433,6,9,2019,9,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2698380,Gestão Financeira para Empresários,True,15,4.0,3.50409,6,12,2020,3,1280.0,0.0,False,28,At Risk,JC-3 Basic,Budget (<₹2K)
2979342,De grão em grão batemos a meta,True,17,4.58333,4.64216,6,19,2020,4,2560.0,82.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
3430204,Netsis Eğitim Seti - Ön Muhasebe ve Genel Muhasebe,True,38,4.66667,4.72237,6,13,2020,8,3520.0,87.1,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2572142,Controlling mit Excel - Teil 2,True,169,4.16667,4.14625,6,19,2019,9,1280.0,64.5,True,8,Active,JC-3 Basic,Budget (<₹2K)
3019540,Data science pour le trading algorithmique (2020),True,50,3.33333,3.2133,6,51,2020,4,8640.0,94.7,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3035732,Quanto cobrar pelo meu serviço? Um guia para autônomos,True,150,4.58333,4.43007,6,5,2020,5,1280.0,64.5,True,8,Active,JC-3 Basic,Budget (<₹2K)
3017456,Piattaforma di eToro : Approccio al Social Trading.,True,25,4.91667,4.92976,6,16,2020,4,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3183982,Análise Fundamentalista de Fundos Imobiliários na Prática,True,23,4.08333,4.13233,6,27,2020,6,8640.0,94.7,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3085012,Investire in Oro e Diamanti,True,30,4.5,4.50296,6,31,2020,5,4480.0,89.8,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2943102,Kostenrechnung und Kalkulation für Hotellerie & Gastronomie,True,20,4.83333,4.76853,6,37,2020,4,8640.0,63.0,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2771970,Daytrade - Analise Técnica,True,19,3.75,3.65945,6,10,2020,1,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3398190,Börsenwissen und Fudamentalanalyse Meisterkurs für Anfänger,True,1402,4.2,4.37787,5,80,2020,8,8640.0,94.7,True,8,Active,JC-3 Basic,Standard (₹5K-9K)
3300922,Day Trade - Smartphone,True,36,4.3,4.4102,5,18,2020,7,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3382960,Introducción a la contabilidad,True,27,4.6,4.71798,6,28,2020,8,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2752590,Microsoft Office Basic to Advance Training Course Bundle2020,True,44,4.5,4.62722,5,94,2020,1,7360.0,93.8,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3318312,Scalping: Une méthode efficace,True,20,4.6,4.62705,5,7,2020,7,6400.0,92.9,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3154618,5 estratégia com indicadores para download,True,13,4.1,4.08399,5,14,2020,5,2560.0,82.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2770156,Fundos de Investimentos – Guia completo,True,50,4.6,4.46191,5,48,2020,4,1280.0,64.5,True,18,Low Engagement,JC-3 Basic,Budget (<₹2K)
2692336,Spss Eğitimi,True,41,3.8,4.13545,5,25,2019,12,5440.0,91.6,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3058962,Aprenda Tape Reading + Estrategia de Pullback,True,21,4.7,4.60055,5,74,2020,5,8640.0,94.7,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2961132,I Certificati di Investimento,True,22,4.4,4.43198,5,25,2020,4,8320.0,94.5,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2557462,The Ultimate Guide to Mutual Funds: BEGINNER TO ADVANCED,True,22,3.8,3.82778,5,10,2019,9,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2559466,Come aprire Partita Iva per: libero professionista Freelance,True,35,4.8,4.79398,5,7,2019,10,3200.0,85.8,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2617914,Gestão financeira para o crescimento,True,11,3.6,3.40888,5,11,2019,10,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3049454,Complete Tally ERP 9 with Practical Example (HINDI) 2020,True,18,4.6,4.52232,5,27,2020,5,7040.0,93.5,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3173958,A'dan Z'ye Forex Rehberi ve MetaTrader Eğitimi,True,25,4.6,4.56105,5,36,2020,7,1600.0,71.6,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2665968,SAP Business One Basic to Advance Training in Hindi|Urdu 9.1,True,18,4.4,4.37311,5,153,2019,12,8640.0,94.7,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2961512,Trading Online: Corso Completo,True,14,4.2,4.24557,5,18,2020,4,2880.0,84.2,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
3053712,Maitriser l'Investissement en Trading et commencer à gagner.,True,32,4.0,4.30598,5,22,2020,5,3200.0,85.8,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
3215905,Auditing Financial Statements | Practical Course | [Arabic],True,1055,4.8,4.82943,5,48,2020,7,4480.0,89.8,True,8,Active,JC-3 Basic,Mid (₹2K-5K)
2657938,Бабло побеждает зло. Запись семинара. Киев. 16.03.2019,True,32,4.6,4.67408,5,6,2019,11,1600.0,71.6,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
2747274,Como declarar seus criptoativos no Imposto de Renda,True,17,4.5,4.51919,5,7,2020,3,1600.0,0.0,False,28,At Risk,JC-3 Basic,Budget (<₹2K)
2652702,Curso de Inversión en Bolsa (Trading),True,26,4.5,4.35589,5,7,2019,11,1280.0,64.5,True,28,At Risk,JC-3 Basic,Budget (<₹2K)
3087778,Corso Pattern Armonici (Strategia di Trading Completa),True,18,3.3,3.42283,5,98,2020,5,8640.0,94.7,True,38,At Risk,JC-3 Basic,Standard (₹5K-9K)
3059930,Valuation,True,30,3.7,3.84221,5,9,2020,5,3520.0,87.1,True,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2690424,"Akreditif ve Dış Ticaret  , İhracat",True,62,3.9,3.71475,5,5,2019,12,1280.0,0.0,False,18,Low Engagement,JC-3 Basic,Budget (<₹2K)
3193896,Modelación Financiera con Programación Lineal,True,7,4.8,4.6421,5,25,2020,6,1280.0,64.5,True,38,At Risk,JC-3 Basic,Budget (<₹2K)
2948814,Trading con Acción del Precio y Perfil de Volumen,True,8,4.8,4.79546,5,32,2020,5,6400.0,0.0,False,38,At Risk,JC-3 Basic,Standard (₹5K-9K)
2371138,Preparatório ANBIMA CPA 10 - Conteúdos relevantes em provas,True,24,4.1,3.98563,5,7,2019,11,4480.0,0.0,False,28,At Risk,JC-3 Basic,Mid (₹2K-5K)
2620314,Curso Básico Declaración Anual Para Personas Físicas,True,25,4.1,4.55617,5,21,2020,1,5440.0,91.6,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
2606440,Курс инвестирование в недвижимость. Покупка. Продажа. Аренда,True,21,3.6,3.58798,5,33,2019,10,8640.0,94.7,True,28,At Risk,JC-3 Basic,Standard (₹5K-9K)
3236751,Day Trade - Curso de Candlesticks,True,13,3.125,3.34446,4,22,2020,6,1280.0,64.5,True,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2866660,Simulados CPA 20 - Certificação Profissional ANBIMA 20,True,32,4.875,4.84657,4,0,2020,3,4160.0,75.0,True,45,Critically Inactive,JC-3 Basic,Mid (₹2K-5K)
3175938,Einstieg in die Buchhaltung,True,695,4.375,4.79451,4,17,2020,5,2560.0,75.0,True,15,Low Engagement,JC-3 Basic,Mid (₹2K-5K)
3149936,Formação de Auditores Internos - Modulo II,True,54,4.75,4.66043,4,11,2020,5,4480.0,89.8,True,25,At Risk,JC-3 Basic,Mid (₹2K-5K)
3380594,Mercado de Ações para Iniciantes,True,17,4.25,4.23645,4,16,2020,8,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2569162,Automatisches Trading - alles was Sie wissen müssen,True,70,2.75,2.72407,4,36,2019,9,3840.0,88.2,True,45,Critically Inactive,JC-3 Basic,Mid (₹2K-5K)
2902074,Retenção Tributária do INSS,True,15,4.625,4.63323,4,8,2020,3,1920.0,76.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3234013,LOS 4 ELEMENTOS DEL IMPUESTO,True,22,4.875,4.86951,4,5,2020,6,1280.0,45.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3262960,Dividendenstrategie: von steigenden Dividenden profitieren,True,523,4.75,4.77717,4,60,2020,8,8640.0,94.7,True,15,Low Engagement,JC-3 Basic,Standard (₹5K-9K)
1873036,手把手入门量化交易,True,6,4.625,4.65565,4,23,2019,11,11520.0,0.0,False,45,Critically Inactive,JC-3 Basic,Premium (₹9K-13K)
2643830,Investir: Como Começar,True,17,4.5,4.24546,4,27,2019,11,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2716206,كورس المحاسبة الالكترونية والاكسيل المتقدم,True,14,4.75,4.71139,4,48,2020,1,3200.0,85.8,True,35,At Risk,JC-3 Basic,Mid (₹2K-5K)
2738908,Contabilidade 4.0,True,9,4.125,3.99536,4,20,2020,1,1600.0,71.6,True,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
3141894,aprenda analisar resultados da empresas para investir melhor,True,190,4.625,4.64062,4,15,2020,5,1600.0,71.6,True,15,Low Engagement,JC-3 Basic,Budget (<₹2K)
3200688,Investimentos - Os segredos da mente para investir melhor,True,23,5.0,5.0,4,30,2020,7,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3089860,Controles Internos (Práticas Financeiras),True,14,3.33333,3.61187,4,18,2020,6,3840.0,88.2,True,45,Critically Inactive,JC-3 Basic,Mid (₹2K-5K)
3341122,Curso: O Investidor Moderno,True,76,4.875,4.85577,4,12,2020,7,1280.0,64.5,True,25,At Risk,JC-3 Basic,Budget (<₹2K)
3391842,Practical Course in Income Tax (INDIA),True,497,5.0,5.0,4,48,2020,9,5120.0,91.1,True,15,Low Engagement,JC-3 Basic,Standard (₹5K-9K)
3145978,"Tranding Avanzado, aprende técnicas de inversión Profesional",True,6,4.0,4.04741,4,10,2020,5,8640.0,94.7,True,45,Critically Inactive,JC-3 Basic,Standard (₹5K-9K)
2974752,Practical Training of GST with Conceptual Learning 2020,True,27,3.625,3.40756,4,41,2020,4,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2965760,Day trade 02 importantes indicadores para iq option OTC,True,20,2.5,2.413,4,7,2020,4,1280.0,64.5,True,55,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2791384,Investir dans les parkings : Vous devez savoir cela !,True,16,5.0,5.0,4,14,2020,2,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2855176,Bilanço Okuma ve Makyajlanmış Bilançoların Tespiti,True,13,3.625,3.87353,4,24,2020,3,7680.0,0.0,False,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
2690974,Trader avec des indicateurs techniques,True,21,4.25,4.26989,4,12,2019,12,5120.0,91.1,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
3348972,Valor en riesgo en inversiones en Crystal Ball,True,6,4.625,4.58165,4,22,2020,8,1600.0,71.6,True,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2705846,Como seleccionar fondos de inversión,True,26,4.625,4.71239,4,10,2020,1,1920.0,76.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3128220,BTC أسثمر في التقنيه الرقمية الجديدة للمستقبل-أغلى من الذهب,True,13,4.875,4.89746,4,8,2020,5,1600.0,71.6,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2984698,Финансовый менеджмент - Оценка инвестиционных проектов,True,10,4.375,4.36524,4,17,2020,4,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3129714,Treinamento Super Trader - Dólar Futuro,True,6,5.0,5.0,4,14,2020,5,3520.0,75.0,True,45,Critically Inactive,JC-3 Basic,Mid (₹2K-5K)
2832182,GÜNLÜK KAZANÇ & KRİPTO BORSASI,True,4,1.0,1.0,4,17,2020,3,1280.0,64.5,True,65,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2569208,Contabilidade Digital,True,13,4.5,4.54378,4,5,2019,9,2560.0,82.2,True,35,At Risk,JC-3 Basic,Mid (₹2K-5K)
2692632,Preparatório para Certificação ANBIMA CEA,True,14,4.25,4.20947,4,87,2020,2,12480.0,0.0,False,35,At Risk,JC-3 Basic,Premium (₹9K-13K)
2749080,الاقتصاد لغير المتخصصين,True,14,5.0,5.0,4,16,2020,1,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
3237633,租税法修士論文の書き方（入門編）,True,5,4.75,4.71324,4,42,2020,6,8640.0,94.7,True,45,Critically Inactive,JC-3 Basic,Standard (₹5K-9K)
2928702,Investire in Covered Warrant,True,23,4.625,4.64761,4,34,2020,4,8320.0,94.5,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
3098132,MasterClass - Forex Day Trading,True,17,4.75,4.7847,4,18,2020,5,8640.0,94.7,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
3165706,100% Mahir Perencanaan Keuangan,True,27,4.875,4.94431,4,38,2020,6,5760.0,92.1,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
3342984,Day Trading for a Living in Hindi,True,15,4.0,2.98353,4,24,2020,8,4800.0,90.5,True,35,At Risk,JC-3 Basic,Mid (₹2K-5K)
3337294,Payroll Accounting टैली ईआरपी 9 में पेरोल प्रोसेसिंग सिस्टम,True,50,4.5,4.47571,4,10,2020,7,1600.0,71.6,True,25,At Risk,JC-3 Basic,Budget (<₹2K)
3254756,L'investimento perfetto 2 - Portafogli perfetti,True,5,4.5,4.53069,4,8,2020,7,1600.0,71.6,True,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2569206,Aprenda a investir em ações a longo prazo,True,7,2.875,2.91029,4,10,2019,10,1280.0,64.5,True,65,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2718644,Guía práctica de Finanzas Personales,True,15,4.625,4.27025,4,12,2020,5,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2977412,Gestão financeira no futebol,True,10,2.875,2.8066,4,12,2020,4,1280.0,64.5,True,55,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2906814,Tally.ERP9 with GST- in Telugu I A/c & TaxationPkg-తెలుగు లో,True,17,4.625,4.57643,4,98,2020,3,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2979078,◆投資助言・代理業登録者◆ 美大出身FPが伝える、お金と資産運用の基礎講座,True,22,4.875,4.82003,4,16,2020,4,1280.0,64.5,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2948736,Aprenda Day Trade em Opções Binaria,True,11,4.375,4.53822,4,21,2020,4,1920.0,76.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2768374,Value Investing Course In Hindi,True,12,4.5,4.4658,4,9,2020,1,1920.0,76.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2751366,Professional Forex Trading (เทคนิคการเทรด Forex แบบมืออาชีพ),True,10,3.75,3.65265,4,9,2020,1,5440.0,91.6,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
2736498,Planilha de Orçamento Pessoal sem Mistério,True,109,4.25,4.17106,4,13,2020,1,1280.0,64.5,True,15,Low Engagement,JC-3 Basic,Budget (<₹2K)
2966260,PLANEJAMENTO FINANCEIRO PARA EMPREENDEDORES INICIANTES,True,91,4.33333,4.08883,3,5,2020,4,1280.0,64.5,True,25,At Risk,JC-3 Basic,Budget (<₹2K)
3391422,"Meistere deine Finanzen - Geld verdienen, sparen, vermehren",True,10,4.0,4.16696,3,27,2020,8,6080.0,92.5,True,35,At Risk,JC-3 Basic,Standard (₹5K-9K)
2914488,Como comprar e Vender Ações na Bolsa de Valores,True,9,4.33333,4.08286,3,21,2020,4,1280.0,64.5,True,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
2868366,ETF Kurs - Vermögen aufbauen durch passives Investieren,True,8,3.83333,3.76378,3,21,2020,3,8640.0,94.7,True,45,Critically Inactive,JC-3 Basic,Standard (₹5K-9K)
2969700,Money Management en trading : la clé du succès,True,10,4.16667,4.25071,3,8,2020,4,1920.0,76.3,True,35,At Risk,JC-3 Basic,Budget (<₹2K)
2960880,MALİ ANALİZ,True,7,3.66667,3.89874,3,10,2020,4,1600.0,0.0,False,45,Critically Inactive,JC-3 Basic,Budget (<₹2K)
3160764,Gestão Financeira: gerencie seu dinheiro!,True,42,5.0,5.0,3,17,2020,6,2240.0,79.7,True,35,At Risk,JC-3 Basic,Mid (₹2K-5K)
