id,title,job_class,dormancy_status,num_subscribers,dormancy_score,RPS,full_price
3404476,Advanced PMI - RMP Real Practice exams,JC-3 Basic,Low Engagement,147,10,0.6507,8640.0
3241522,SHRM-CP / SHRM-SCP Certification Practice Exam,JC-3 Basic,Low Engagement,146,10,0.6507,1280.0
2600926,CMA Part2 Practice Test 2020.,JC-3 Basic,Low Engagement,147,10,0.6507,6400.0
2674090,CIA Part2 Practice Test 2020,JC-3 Basic,Low Engagement,136,10,0.6507,6400.0
2786922,Level 4 Diploma - Ethical & Responsible Sourcing (L4M4),JC-3 Basic,Low Engagement,121,10,0.6506,1280.0
2762778,PMI® PMP PMBOK6 Practice Exams: Set One for PMP Candidates,JC-3 Basic,Low Engagement,118,10,0.6506,3200.0
2788418,Introduction to diplomatic protocol and etiquette,JC-3 Basic,Low Engagement,91,10,0.6505,8640.0
2848212,ISO 22000:2018 Food Safety Management Systems (FSMS),JC-3 Basic,Low Engagement,95,10,0.6505,8640.0
2796382,Masterclass in AS9100 D Aerospace Quality management System,JC-3 Basic,Low Engagement,96,10,0.6505,8640.0
2848414,How to Work as a Translation Project Manager,JC-3 Basic,Low Engagement,99,10,0.6505,1280.0
2965430,Mastering ISO/IEC 17025: 2017 and Certified Internal Auditor,JC-3 Basic,Low Engagement,92,10,0.6505,3520.0
3358870,Sales Skills | Close More Deals & Increase Sales,JC-3 Basic,Low Engagement,92,10,0.6505,8640.0
2121146,How to Start a Profitable Tutoring Business: Online tutoring,JC-3 Basic,Low Engagement,95,10,0.6505,2240.0
2663172,Sales Psychology (Outer World Part 1) Jordan Belfort,JC-3 Basic,Low Engagement,93,10,0.6505,8640.0
2696586,PowerBI Zero to Hero - Introduction to PowerBI Desktop,JC-3 Basic,Low Engagement,99,10,0.6505,1920.0
2974290,"""Marketing Therapy."" Grow Your Complementary Health Business",JC-3 Basic,Low Engagement,95,10,0.6505,7360.0
3313824,Applying The Art and Science of Sales Enablement,JC-3 Basic,Low Engagement,99,10,0.6505,6400.0
3306872,How to Use Zoom like a Pro in 2020 (and Look Good Doing It!),JC-3 Basic,Low Engagement,91,10,0.6505,6080.0
2719460,Deltek Acumen Fuse - Step by Step,JC-3 Basic,Low Engagement,97,10,0.6505,8640.0
2800748,HubSpot Workflows-How to Create  & Manage HubSpot Workflows,JC-3 Basic,Low Engagement,98,10,0.6505,1280.0
1401468,Professional Freelance Travel Journalist Course,JC-3 Basic,Low Engagement,92,10,0.6505,8640.0
2134886,Business process mapping / modelling - the complete course!,JC-3 Basic,Low Engagement,93,10,0.6505,1600.0
3008770,Hands-On Transcription Practice Series - Course A,JC-3 Basic,Low Engagement,97,10,0.6505,3840.0
2781410,Business App Development in Dynamics 365 for Non-Programmers,JC-3 Basic,Low Engagement,91,10,0.6505,8000.0
3214521,XGBoost Machine Learning for Data Science and Kaggle,JC-3 Basic,Low Engagement,94,10,0.6505,6400.0
2880906,7 Amazon Product Launch Secrets Gurus Don't Want You To Know,JC-3 Basic,Low Engagement,92,10,0.6505,3200.0
3141978,Program Management Professional (PgMP) Exam Prep Course,JC-3 Basic,Low Engagement,90,10,0.6505,8640.0
2552723,Generate Passive Income by 4 Option Selling Strategy,JC-3 Basic,Low Engagement,90,10,0.6505,8000.0
